WKT,pops_number,borough_name,borough_code,community_board,address_number,street_name,zip_code,building_address_with_zip_code,tax_block,tax_lot,building_name,building_location,year_completed,building_constructed,public_space_type,developer,building_architect,principal_public_space_designer,size_required,hour_of_access_required,amenities_required,other_required,permitted_amenities,physically_disabled_access,latitude,longitude,xcoordinate,ycoordinate,bin,postcode,council_district,census_tract,bbl,nta,location,tpadbin,tpadbinstatus
"POINT (-73.979254 40.763064)",M050021,Manhattan,"1","05","1345",SIXTH AVENUE,"10105","1345 SIXTH AVENUE, New York, NY 10105","01007","0029",Alliance Capital,West side of Sixth Avenue between West 54th and 55th Streets,"1968",Completed,Plaza,Fisher Brothers,Emery Roth & Sons,Emery Roth & Sons,Plaza 30171.00 sf,24 Hours,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space; Water Feature",,Open Air Cafe,Full/Partial,40.763064,-73.979254,"0989997","0217282","1083719","10105","6","137","1010070029",,POINT(-73.979254 40.763064),,No activity
"POINT (-73.977778 40.762575)",M050022,Manhattan,"1","05","1350",SIXTH AVENUE,"10019","1350 SIXTH AVENUE, New York, NY 10019","01270","0071",Men's Apparel,Southeast corner of West 55th Street and Sixth Avenue,"1966",Completed,Plaza,Samuel Minskoff & Sons,Emery Roth & Sons,Emery Roth & Sons,Plaza 5879.50 sf,24 Hours,None,,,Full/Partial,40.762575,-73.977778,"0990406","0217104","1034815","10019","4","104","1012700071",,POINT(-73.977778 40.762575),,No activity
"POINT (-73.973277 40.76043)",M050024,Manhattan,"1","05","535",MADISON AVENUE,"10022","535 MADISON AVENUE, New York, NY 10022","01290","0021",Warburg Dillon Read,Northeast corner of East 54th Street and Madison Avenue,"1982",Completed,"Arcade; Urban Plaza","Park Tower Associates, Madison Ave. Associates",Edward Larrabee Barnes,"Edward Larrabee Barnes; Zion Breen & Richardson Associates (for alteration in 2009)","Arcade 1700.00 sf; Urban Plaza 4869.30 sf",24 Hours,"Artwork; Bicycle Parking; Food Service; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space",,,Full/Partial,40.76043,-73.973277,"0991653","0216323","1035747","10022","4","102","1012900021",,POINT(-73.973277 40.76043),,No activity
"POINT (-73.974476 40.760258)",M050025,Manhattan,"1","05","520",MADISON AVENUE,"10022","520 MADISON AVENUE, New York, NY 10022","01289","0014",,West side of Madison Avenue between East 53rd and 54th Streets,"1982",Completed,"Sidewalk Widening; Urban Plaza",Tishman Speyer Properties,Swanke Hayden Connell,Swanke Hayden Connell,"Sidewalk Widening 5353.00 sf; Urban Plaza 2610.00 sf",24 Hours,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature",,,Full/Partial,40.760258,-73.974476,"0991321","0216260","1035727","10022","4","102","1012890014",,POINT(-73.974476 40.760258),,No activity
"POINT (-73.978478 40.761966)",M050026,Manhattan,"1","05","1330",SIXTH AVENUE,"10019","1330 SIXTH AVENUE, New York, NY 10019","01269","0001",,East side of Sixth Avenue between West 53rd and 54th Streets,"1965",Completed,Plaza,,Emery Roth & Sons,"Emery Roth & Sons; Moed de Armas & Shannon Architects, P.C. (for alteration in 2012)",Plaza 6312.00 sf,24 Hours,"Artwork; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables",,,Full/Partial,40.761966,-73.978478,"0990212","0216882","1034522","10019","4","104","1012690001",,POINT(-73.978478 40.761966),,No activity
"POINT (-73.981279 40.762998)",M050027,Manhattan,"1","05","825",SEVENTH AVENUE,"10019","825 SEVENTH AVENUE, New York, NY 10019","01006","7501",Tower 53,Northwest corner of West 53rd Street and Seventh Avenue,"1967",Completed,Plaza,Loews Corporation,Russell M. Boak Associates,Russell M. Boak Associates,Plaza 2554.70 sf,24 Hours,None,,,Full/Partial,40.762998,-73.981279,"0989436","0217258","1023166","10019","4","131","1010067501",,POINT(-73.981279 40.762998),,No activity
"POINT (-73.982272 40.763512)",M050028,Manhattan,"1","05","1700",BROADWAY,"10019","1700 BROADWAY, New York, NY 10019","01025","0025",,Full blockfront on east side of Broadway between West 53rd and 54th Streets,"1968",Completed,Plaza,Jerome Weinstein,Emery Roth & Sons,"Emery Roth & Sons; Moss Gilday Group and M. Paul Friedberg and Partners (for alteration in 2010)",Plaza 8241.00 sf,24 Hours,"Bicycle Parking; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees within Space",green screen,Open Air Cafe,Full/Partial,40.763512,-73.982272,"0989161","0217445","1024836","10019","3","131","1010250025",,POINT(-73.982272 40.763512),,No activity
"POINT (-73.982525 40.762913)",M050029,Manhattan,"1","05","810",SEVENTH AVENUE,"10019","810 SEVENTH AVENUE, New York, NY 10019","01024","0038",,Southwest corner of Seventh Avenue and West 53rd Street,"1970",Completed,Plaza,Abraham Sommer,Kahn and Jacobs,Kahn and Jacobs,Plaza 6575.00 sf,24 Hours,"Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees within Space",trellised arcade in Plaza along West 53rd Street,,Full/Partial,40.762913,-73.982525,"0989091","0217227","1024828","10019","3","131","1010240038",,POINT(-73.982525 40.762913),,No activity
"POINT (-73.980027 40.761768)",M050030,Manhattan,"1","05","1301",SIXTH AVENUE,"10019","1301 SIXTH AVENUE, New York, NY 10019","01005","0029",,West side of Sixth Avenue between West 52nd and 53rd Streets,"1964",Completed,"Arcade; Plaza",Percy and Harold D. Uris,Shreve Lamb Harmon Associates,Shreve Lamb Harmon Associates,"Arcade 6274.00 sf; Plaza 18376.07 sf",24 Hours,None,,,Full/Partial,40.761768,-73.980027,"0989783","0216810","1023161","10019","4","131","1010050029",,POINT(-73.980027 40.761768),,No activity
"POINT (-73.978746 40.761227)",M050031,Manhattan,"1","05","51",WEST 52 STREET,"10019","51 WEST 52 STREET, New York, NY 10019","01268","0001",CBS,East Side of Sixth Avenue between West 52nd and 53rd Streets,"1965",Completed,Plaza,,Eero Saarinen/Kevin Roche John Dinkeloo and Associates,Eero Saarinen/Kevin Roche John Dinkeloo and Associates,Plaza 10731.60 sf,24 Hours,None,,,Full/Partial,40.761227,-73.978746,"0990138","0216613","1081406","10019","4","104","1012680001",,POINT(-73.978746 40.761227),,No activity
